試行,bh,bc,hloss,cop_shift,cool_a,defrost_f,最高の県,最高円,最安の県,最安円,倍率,札幌円,東京円,札幌_効率一定円,過小評価%,東京の順位,上位5は北海道と東北か
618,20.0,24.0,234.6,1.15,5.0,0.95,北海道,223633,鹿児島県,50410,4.44,223633,90291,181403,18.9,24,はい
619,20.0,24.0,234.6,1.15,5.7,0.78,北海道,253310,沖縄県,44610,5.68,253310,87981,181261,28.4,23,はい
620,20.0,24.0,234.6,1.15,5.7,0.85,北海道,239587,沖縄県,44610,5.37,239587,87981,181261,24.3,23,はい
621,20.0,24.0,234.6,1.15,5.7,0.95,北海道,223491,沖縄県,44610,5.01,223491,87981,181261,18.9,23,はい
622,20.0,24.0,270.0,0.85,4.3,0.78,北海道,394402,沖縄県,70130,5.62,394402,137153,282215,28.4,23,はい
623,20.0,24.0,270.0,0.85,4.3,0.85,北海道,373034,沖縄県,70130,5.32,373034,137153,282215,24.3,23,はい
624,20.0,24.0,270.0,0.85,4.3,0.95,北海道,347971,沖縄県,70130,4.96,347971,137153,282215,18.9,23,はい
625,20.0,24.0,270.0,0.85,5.0,0.78,北海道,394184,沖縄県,60738,6.49,394184,133530,281997,28.5,23,はい
626,20.0,24.0,270.0,0.85,5.0,0.85,北海道,372816,沖縄県,60738,6.14,372816,133530,281997,24.4,23,はい
627,20.0,24.0,270.0,0.85,5.0,0.95,北海道,347753,沖縄県,60738,5.73,347753,133530,281997,18.9,23,はい
628,20.0,24.0,270.0,0.85,5.7,0.78,北海道,394020,沖縄県,53874,7.31,394020,130872,281833,28.5,23,はい
629,20.0,24.0,270.0,0.85,5.7,0.85,北海道,372652,沖縄県,53874,6.92,372652,130872,281833,24.4,23,はい
630,20.0,24.0,270.0,0.85,5.7,0.95,北海道,347589,沖縄県,53874,6.45,347589,130872,281833,18.9,23,はい
631,20.0,24.0,270.0,1.0,4.3,0.78,北海道,335472,鹿児島県,67475,4.97,335472,120124,240113,28.4,24,はい
632,20.0,24.0,270.0,1.0,4.3,0.85,北海道,317309,鹿児島県,67475,4.7,317309,120124,240113,24.3,24,はい
